id_usuari;data_activitat;hora_inici;durada_minuts;tipus_activitat;calories;dispositiu
6;2024-06-01;13:45;31;caminar;30;smartwatch
5;2024-03-10;18:00;25;bicicleta;132;smartwatch
8;2024-02-18;08:00;85;natació;393;pulsera
6;2024-07-26;13:30;16;natació;801;mòbil
4;2024-05-31;11:30;83;senderisme;410;pulsera
6;2024-02-04;19:30;48;córrer;360;smartwatch
9;2024-10-28;17:45;115;gimnàs;521;smartwatch
4;2024-12-08;13:45;18;caminar;699;smartwatch
2;2024-04-18;16:00;70;bicicleta;542;smartwatch
1;2024-10-28;08:15;113;pilates;398;smartwatch
1;2024-04-12;09:15;11;caminar;514;mòbil
5;2024-09-06;12:45;18;ioga;329;pulsera
2;2024-05-10;20:45;97;ioga;542;mòbil
10;2024-03-28;14:45;54;gimnàs;393;mòbil
5;2024-08-19;09:00;33;córrer;61;smartwatch
10;2024-01-06;11:45;98;senderisme;762;smartwatch
5;2024-04-12;11:15;88;natació;464;mòbil
10;2024-12-18;21:30;95;pilates;909;mòbil
7;2024-02-05;09:45;68;caminar;464;pulsera
5;2024-05-11;10:45;90;caminar;286;smartwatch
7;2024-01-31;17:30;85;gimnàs;696;mòbil
6;2024-01-12;15:45;99;caminar;773;smartwatch
7;2024-05-26;14:15;42;caminar;919;smartwatch
4;2024-04-27;19:45;47;bicicleta;568;smartwatch
2;2024-01-04;20:30;86;senderisme;880;pulsera
5;2024-06-14;14:15;72;córrer;913;mòbil
6;2024-06-04;15:45;60;bicicleta;608;smartwatch
7;2024-01-01;12:45;68;caminar;617;pulsera
7;2024-03-13;08:00;89;caminar;377;smartwatch
10;2024-04-27;10:30;50;senderisme;94;pulsera
2;2024-09-27;10:00;103;natació;909;pulsera
7;2024-09-08;20:45;91;senderisme;829;pulsera
5;2024-11-16;10:30;7;ioga;797;mòbil
4;2024-07-20;06:00;68;bicicleta;461;mòbil
1;2024-08-31;18:30;27;gimnàs;433;mòbil
10;2024-10-09;12:30;26;ioga;636;mòbil
1;2024-08-22;07:45;117;ioga;437;smartwatch
5;2024-03-09;11:30;16;córrer;859;mòbil
7;2024-01-05;14:45;32;natació;102;mòbil
7;2024-04-17;11:15;82;pilates;772;mòbil
7;2024-09-24;19:45;100;senderisme;732;smartwatch
7;2024-06-18;08:45;119;natació;582;smartwatch
2;2024-09-21;07:15;115;córrer;873;mòbil
2;2024-09-07;15:45;5;senderisme;192;smartwatch
5;2024-10-26;09:45;37;ioga;960;mòbil
2;2024-10-01;07:00;22;bicicleta;796;smartwatch
3;2024-01-28;09:45;62;bicicleta;411;pulsera
9;2024-04-15;15:45;29;caminar;226;smartwatch
10;2024-07-06;16:45;101;natació;291;mòbil
1;2024-03-10;10:00;100;natació;179;pulsera
2;2024-08-13;18:30;106;córrer;677;mòbil
3;2024-08-19;18:00;14;bicicleta;134;smartwatch
1;2024-10-19;06:00;23;bicicleta;653;smartwatch
8;2024-04-03;06:45;76;bicicleta;451;smartwatch
1;2024-03-14;09:00;94;ioga;642;smartwatch
1;2024-05-28;17:30;19;gimnàs;819;pulsera
4;2024-09-13;13:00;88;córrer;910;mòbil
8;2024-01-02;06:00;55;caminar;800;mòbil
5;2024-04-19;15:15;23;bicicleta;661;smartwatch
1;2024-03-14;07:00;69;pilates;867;mòbil
8;2024-06-14;17:45;41;natació;147;pulsera
3;2024-08-07;09:30;107;córrer;605;smartwatch
6;2024-11-08;15:15;23;ioga;985;smartwatch
8;2024-03-17;08:45;6;pilates;349;mòbil
7;2024-07-12;16:45;52;senderisme;81;smartwatch
3;2024-04-19;07:45;36;pilates;912;mòbil
1;2024-09-15;18:15;120;senderisme;147;mòbil
10;2024-11-27;06:30;49;senderisme;265;smartwatch
7;2024-08-14;16:30;46;bicicleta;266;pulsera
10;2024-08-20;13:00;46;bicicleta;285;mòbil
1;2024-10-23;18:15;18;natació;552;smartwatch
3;2024-04-11;12:30;56;senderisme;753;smartwatch
1;2024-10-13;07:45;106;caminar;307;smartwatch
4;2024-08-08;08:30;14;ioga;997;pulsera
9;2024-01-01;18:00;23;caminar;912;smartwatch
3;2024-11-27;09:30;77;córrer;693;smartwatch
3;2024-06-09;12:00;109;senderisme;36;pulsera
8;2024-06-22;08:15;97;natació;141;pulsera
1;2024-12-23;07:30;92;natació;110;pulsera
4;2024-07-07;14:45;63;bicicleta;86;smartwatch
6;2024-01-20;09:00;120;ioga;434;smartwatch
3;2024-02-05;11:00;7;senderisme;841;pulsera
7;2024-09-08;08:30;28;caminar;826;pulsera
10;2024-01-22;16:30;82;senderisme;343;mòbil
2;2024-04-12;12:15;12;senderisme;351;pulsera
4;2024-07-04;18:30;109;bicicleta;640;smartwatch
5;2024-07-11;16:45;113;senderisme;955;mòbil
4;2024-03-03;07:00;29;natació;318;mòbil
3;2024-10-12;11:00;32;bicicleta;623;smartwatch
1;2024-05-14;12:15;60;natació;870;smartwatch
5;2024-11-23;14:15;114;natació;774;pulsera
10;2024-07-16;12:30;13;natació;451;smartwatch
5;2024-09-02;18:30;115;bicicleta;458;mòbil
4;2024-03-09;19:30;96;bicicleta;56;pulsera
5;2024-01-02;15:45;98;senderisme;71;smartwatch
7;2024-09-23;21:00;70;ioga;135;pulsera
5;2024-09-05;21:00;70;ioga;703;pulsera
2;2024-09-13;07:15;62;córrer;565;smartwatch
7;2024-06-21;12:45;86;natació;782;pulsera
8;2024-09-20;09:00;114;senderisme;273;pulsera
